State/Tribal/Other,Agency,Unit/Office,"Total lawenforcementemployees","Totalofficers","Totalcivilians",Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
State Agencies,Coalinga State Hospital,,228,210,18,149,0,0,,0,149,3,1,2,0,0.0
State Agencies,Department of Parks and Recreation,Capital,560,530,30,0,0,0,,0,0,7,2,5,0,1.0
State Agencies,Sonoma Developmental Center,,17,7,10,6,0,0,,0,6,2,0,2,0,0.0
Tribal Agencies,Coyote Valley Tribal,,6,5,1,2,0,0,,0,2,0,0,0,0,0.0
Tribal Agencies,La Jolla Tribal,,2,2,0,5,0,0,,4,1,8,2,6,0,0.0
Tribal Agencies,Los Coyotes Tribal,,6,6,0,7,0,0,,0,7,6,5,1,0,0.0
Tribal Agencies,Sycuan Tribal,,19,11,8,10,0,0,,2,8,45,7,19,19,
Tribal Agencies,Table Mountain Rancheria,,24,15,9,3,0,0,,2,1,40,2,37,1,0.0
Tribal Agencies,Tule River Tribal,,27,7,20,12,0,0,,2,10,23,9,9,5,0.0
Tribal Agencies,Yurok Tribal,,11,9,2,9,0,1,,6,2,26,9,13,4,
Other Agencies,Fontana Unified School District,,68,16,52,24,0,0,,8,16,101,32,64,5,2.0
Other Agencies,Monterey Peninsula Airport,,7,7,0,0,0,0,,0,0,9,5,0,4,0.0
Other Agencies,San Bernardino Unified School District,,72,23,49,69,0,3,,60,6,362,134,201,27,3.0
Other Agencies,San Francisco Bay Area Rapid Transit,Contra Costa County,285,197,88,49,0,2,,37,10,886,0,641,245,7.0
Other Agencies,Stockton Unified School District,,27,20,7,15,0,0,,5,10,269,101,164,4,8.0
Other Agencies,Twin Rivers Unified School District,,27,22,5,24,0,1,,6,17,148,74,66,8,0.0
