University/College,Campus,Student enrollment,Total Law Enforcement Employees,Total Officers,Total Civilians,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Allan Hancock College,,"11,047",10,5,5,0,0,0,,0,0,21,2,18,1,0
California State Polytechnic University,Pomona,"23,966",27,19,8,6,0,4,,1,1,173,5,150,18,1
California State University,Bakersfield,"8,720",21,14,7,1,0,0,,0,1,78,12,65,1,0
California State University,Channel Islands,"5,879",28,14,14,2,0,0,,1,1,62,7,54,1,0
California State University,Dominguez Hills,"14,687",26,20,6,4,0,0,,0,4,72,5,65,2,0
California State University,East Bay,"14,823",26,15,11,2,0,2,,0,0,97,11,80,6,0
California State University,Fresno,"23,179",31,20,11,13,0,3,,3,7,267,43,209,15,1
California State University,Monterey Bay,"6,631",23,14,9,12,0,6,,0,6,35,8,24,3,0
California State University,Northridge,"40,131",36,22,14,7,0,3,,2,2,302,16,278,8,0
California State University,Sacramento,"29,349",38,22,16,12,0,2,,5,5,195,7,186,2,1
California State University,San Bernardino,"18,952",25,15,10,8,0,2,,5,1,104,3,80,21,0
California State University,San Marcos,"12,154",28,21,7,7,0,7,,0,0,59,2,57,0,0
California State University,Stanislaus,"9,045",17,11,6,2,0,2,,0,0,72,1,70,1,0
College of the Sequoias,,"10,647",5,4,1,4,0,0,,1,3,70,12,51,7,0
Contra Costa Community College,,"35,481",34,21,13,3,0,0,,3,0,194,17,156,21,1
El Camino College,,"24,207",32,25,7,3,0,0,,3,0,112,6,101,5,0
Foothill-De Anza College,,"38,134",15,10,5,1,0,0,,1,0,72,5,64,3,0
Humboldt State University,,"8,485",19,12,7,7,0,3,,0,4,153,12,139,2,2
Marin Community College,,"5,500",7,6,1,3,0,2,,0,1,27,2,25,0,0
Riverside Community College,,"36,582",23,18,5,1,0,0,,0,1,74,6,57,11,1
San Bernardino Community College,,"18,897",20,7,13,1,0,0,,0,1,84,13,62,9,0
San Diego State University,,"33,483",47,24,23,26,0,12,,5,9,457,32,400,25,0
San Francisco State University,,"29,465",53,27,26,7,0,2,,2,3,220,26,180,14,0
Sonoma State University,,"9,290",27,13,14,3,0,3,,0,0,128,21,105,2,0
State Center Community College District,,"36,940",33,12,21,7,0,0,,2,5,222,28,184,10,0
University of California,Berkeley,"37,565",151,65,86,35,0,9,,12,14,749,43,688,18,1
University of California,Davis,"34,508",83,43,40,22,0,13,,4,5,600,27,568,5,3
University of California,Hastings College of Law,"1,003",7,7,0,19,0,1,,4,14,40,4,36,0,0
University of California,Los Angeles,"41,845",98,60,38,97,0,27,,22,48,817,136,663,18,2
University of California,Merced,"6,268",20,12,8,11,0,3,,0,8,23,2,19,2,0
University of California,Riverside,"21,498",44,31,13,10,0,3,,6,1,291,28,250,13,1
University of California,San Diego,"30,709",64,37,27,7,0,1,,1,5,511,28,461,22,1
University of California,San Francisco,"3,170",118,45,73,15,0,1,,4,10,437,34,387,16,0
University of California,Santa Barbara,"23,051",50,37,13,28,0,15,,2,11,203,17,186,0,1
University of California,Santa Cruz,"17,866",30,18,12,21,0,11,,2,8,341,26,304,11,1
Ventura County Community College District,,"33,956",16,15,1,0,0,0,,0,0,39,0,39,0,0
